get_in_M,Avr gets
4819,18.6364
4824,18.6553
4829,18.6742
4834,18.6226
4839,18.6415
4844,18.5902
4849,18.5393
4854,18.5581
4859,18.5075
4864,18.4572
4869,18.4758
4874,18.4944
4879,18.513
4884,18.463
4889,18.4815
4894,18.4317
4899,18.4502
4904,18.4686
4909,18.4871
4914,18.5055
4919,18.524
4924,18.5424
4929,18.5609
4934,18.5793
4939,18.5294
4944,18.5478
4949,18.5662
4954,18.5165
4959,18.4672
4964,18.4854
4969,18.5036
4974,18.5219
4979,18.5401
4984,18.4909
4989,18.442
4994,18.4601
4999,18.4783
5004,18.4964
5009,18.4477
5014,18.3993
5019,18.4173
5024,18.4353
5029,18.4532
5034,18.4712
5039,18.4892
5044,18.5072
5049,18.4588
5054,18.4767
5059,18.363
5064,18.3808
5069,18.3333
5074,18.2862
5079,18.3039
5084,18.3216
5089,18.3392
5094,18.3569
5099,18.3099
5104,18.3275
5109,18.2807
5114,18.2343
5119,18.1882
5124,18.1424
5134,18.1771
5139,18.069
5144,18.0862
5149,18.1034
5154,18.1207
5159,18.1379
5164,18.1552
5169,18.1724
5174,18.1271
5179,18.0822
5184,18.0993
5189,18.1164
5194,18.1336
5199,18.1507
5204,18.1678
5209,18.1849
5214,18.0782
5219,18.0952
5224,18.0508
5229,18.0068
5234,18.0236
5239,18.0405
5244,18.0574
5249,18.0743
5254,18.0912
5259,18.0471
5264,18.064
5269,18.0808
5274,18.0976
5279,18.1145
5284,18.0705
5289,18.0872
5294,18.104
5299,18.1208
5304,18.1376
5309,18.1544
5314,18.1711
5319,18.1271
5324,18.1438
5329,18.1605
5334,18.1773
5339,18.194
5344,18.2107
5349,18.2274
5354,18.2441
5359,18.2
5364,18.1561
5369,18.1728
5374,18.0693
5379,18.0858
5384,17.9836
5389,18
5394,18.0164
5399,17.9153
5404,17.8734
5409,17.8896
5414,17.8479
5419,17.8641
5429,17.8387
5434,17.8548
5439,17.871
5444,17.8871
5449,17.9032
5454,17.8617
5459,17.8778
5464,17.8939
5469,17.91
5474,17.926
5479,17.8846
5484,17.9006
5489,17.8594
5494,17.8754
5499,17.8914
5504,17.9073
5509,17.9233
5514,17.9393
5519,17.9553
5524,17.9712
5529,17.9872
5534,17.9459
5539,17.9618
5544,17.9777
5549,17.9365
5554,17.9524
5559,17.8549
5564,17.8707
5569,17.8302
5574,17.8459
5579,17.8056
5584,17.7103
5589,17.7259
5594,17.7414
5599,17.757
5604,17.7726
5609,17.7882
5614,17.8037
5619,17.8193
5624,17.8349
5629,17.8505
5634,17.866
5639,17.8816
5644,17.8972
5649,17.9128
5654,17.9283
5659,17.9439
5664,17.9037
5669,17.9193
5674,17.9348
5679,17.9503
5684,17.9102
5689,17.9257
5694,17.8858
5699,17.8462
5704,17.8067
5709,17.8221
5714,17.8374
5719,17.8528
5724,17.8135
5729,17.7744
5734,17.7896
5739,17.8049
5744,17.8201
5749,17.8354
5754,17.8506
5759,17.8116
5764,17.7727
5769,17.7879
5774,17.803
5779,17.7644
5784,17.7795
5789,17.7946
5794,17.756
5799,17.7711
5804,17.7327
5809,17.7477
5814,17.7628
5819,17.7778
5824,17.7928
5829,17.8078
5834,17.8228
5839,17.8378
